Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,State,city,Gender,Date
1063,1096.0,658.0,7.0,Electronics,Electronic Games,COD,Uttar Pradesh,Mathura,F,2023-01-01
367,5729.0,64.0,14.0,Furniture,Chairs,EMI,Delhi,Delhi,M,2023-01-03
1054,2927.0,146.0,8.0,Furniture,Bookcases,EMI,Uttar Pradesh,Mathura,M,2023-01-03
408,2847.0,712.0,8.0,Electronics,Printers,Credit Card,Maharashtra,Mumbai,F,2023-01-03
1237,2617.0,1151.0,4.0,Electronics,Phones,Credit Card,Madhya Pradesh,Indore,M,2023-01-04
314,2244.0,247.0,4.0,Clothing,Trousers,Credit Card,Uttar Pradesh,Prayagraj,M,2023-01-04
685,275.0,-275.0,4.0,Clothing,Saree,COD,Maharashtra,Pune,F,2023-01-04
210,387.0,-213.0,5.0,Clothing,Saree,UPI,Maharashtra,Pune,F,2023-01-05
699,50.0,-44.0,2.0,Clothing,Hankerchief,UPI,Andhra Pradesh,Hyderabad,F,2023-01-05
669,135.0,-54.0,5.0,Clothing,Kurti,COD,Maharashtra,Pune,M,2023-01-05
532,231.0,-190.0,9.0,Clothing,Hankerchief,COD,Maharashtra,Mumbai,M,2023-01-06
980,2125.0,-234.0,6.0,Electronics,Printers,EMI,Gujarat,Surat,M,2023-01-07
948,3873.0,-891.0,6.0,Electronics,Phones,Credit Card,Maharashtra,Mumbai,F,2023-01-07
344,729.0,-492.0,5.0,Furniture,Bookcases,UPI,Maharashtra,Pune,M,2023-01-07
1363,2188.0,1050.0,5.0,Furniture,Bookcases,Credit Card,Uttar Pradesh,Mathura,F,2023-01-09
627,6.0,-3.0,1.0,Clothing,Hankerchief,UPI,Uttar Pradesh,Mathura,F,2023-01-09
229,1854.0,433.0,5.0,Furniture,Bookcases,Credit Card,Uttar Pradesh,Prayagraj,F,2023-01-09
1110,6.0,1.0,1.0,Clothing,Kurti,UPI,Maharashtra,Mumbai,F,2023-01-09
163,2093.0,721.0,5.0,Furniture,Chairs,Credit Card,Gujarat,Ahmedabad,M,2023-01-10
1593,7.0,-1.0,2.0,Clothing,Skirt,UPI,Bihar,Patna,M,2023-01-10
122,1622.0,-624.0,5.0,Furniture,Tables,Credit Card,Himachal Pradesh,Simla,M,2023-01-11
73,1622.0,95.0,5.0,Electronics,Printers,Credit Card,Uttar Pradesh,Mathura,F,2023-01-11
173,373.0,254.0,6.0,Electronics,Printers,UPI,Himachal Pradesh,Simla,F,2023-01-11
1042,82.0,-33.0,4.0,Clothing,Kurti,COD,Punjab,Chandigarh,M,2023-01-12
1152,8.0,2.0,2.0,Clothing,Skirt,UPI,Madhya Pradesh,Bhopal,F,2023-01-12
497,1954.0,782.0,3.0,Electronics,Phones,Credit Card,Kerala ,Thiruvananthapuram,M,2023-01-12
1543,1543.0,370.0,8.0,Electronics,Printers,Credit Card,Maharashtra,Mumbai,F,2023-01-13
679,1506.0,-266.0,6.0,Electronics,Printers,Credit Card,Nagaland,Kohima,M,2023-01-13
647,1829.0,-56.0,6.0,Furniture,Tables,Credit Card,Madhya Pradesh,Indore,F,2023-01-14
1368,9.0,-1.0,3.0,Clothing,Skirt,UPI,Madhya Pradesh,Bhopal,M,2023-01-15
1147,1461.0,202.0,5.0,Furniture,Tables,EMI,Madhya Pradesh,Indore,F,2023-01-15
1025,391.0,113.0,8.0,Clothing,Stole,COD,Maharashtra,Pune,F,2023-01-17
301,1824.0,1303.0,8.0,Electronics,Phones,Credit Card,Delhi,Delhi,M,2023-01-17
1098,16.0,-15.0,4.0,Clothing,Hankerchief,UPI,Madhya Pradesh,Indore,M,2023-01-17
953,1745.0,122.0,2.0,Furniture,Tables,Credit Card,Haryana,Chandigarh,M,2023-01-18
169,663.0,-212.0,5.0,Electronics,Printers,UPI,Rajasthan,Udaipur,F,2023-01-18
417,10.0,-1.0,1.0,Clothing,Leggings,UPI,Karnataka,Bangalore,M,2023-01-19
293,1630.0,802.0,5.0,Furniture,Tables,EMI,Kerala ,Thiruvananthapuram,F,2023-01-19
1319,12.0,0.0,2.0,Clothing,Hankerchief,UPI,Madhya Pradesh,Bhopal,F,2023-01-19
784,12.0,-7.0,2.0,Clothing,Leggings,UPI,Gujarat,Ahmedabad,F,2023-01-19
668,1709.0,564.0,3.0,Clothing,Trousers,Credit Card,Maharashtra,Pune,M,2023-01-20
168,12.0,3.0,1.0,Clothing,Stole,UPI,Madhya Pradesh,Indore,M,2023-01-20
44,1625.0,-77.0,3.0,Electronics,Phones,EMI,Maharashtra,Mumbai,M,2023-01-22
410,13.0,5.0,2.0,Clothing,Hankerchief,UPI,Uttar Pradesh,Lucknow,F,2023-01-22
576,1361.0,980.0,3.0,Furniture,Tables,COD,Punjab,Chandigarh,M,2023-01-23
216,1622.0,-448.0,3.0,Electronics,Phones,EMI,Maharashtra,Pune,M,2023-01-23
969,1547.0,340.0,6.0,Electronics,Accessories,EMI,Madhya Pradesh,Indore,F,2023-01-23
552,1657.0,460.0,4.0,Furniture,Chairs,Credit Card,Maharashtra,Pune,M,2023-01-23
829,1603.0,0.0,9.0,Clothing,Saree,Credit Card,Tamil Nadu,Chennai,F,2023-01-23
1519,1549.0,-439.0,4.0,Electronics,Phones,Credit Card,Madhya Pradesh,Indore,M,2023-01-25
381,1183.0,106.0,4.0,Electronics,Printers,EMI,Maharashtra,Pune,F,2023-01-26
1167,74.0,-123.0,8.0,Clothing,Skirt,UPI,Madhya Pradesh,Bhopal,M,2023-01-26
1028,1499.0,239.0,13.0,Clothing,Saree,Credit Card,West Bengal,Kolkata,M,2023-01-27
1333,1120.0,199.0,6.0,Clothing,Saree,EMI,Nagaland,Kohima,M,2023-01-28
1581,15.0,-2.0,1.0,Clothing,T-shirt,Debit Card,Madhya Pradesh,Bhopal,M,2023-01-28
648,1487.0,624.0,3.0,Clothing,Trousers,Credit Card,Madhya Pradesh,Indore,F,2023-02-02
1588,1118.0,206.0,2.0,Furniture,Tables,Credit Card,Delhi,Delhi,M,2023-02-02
1399,11.0,-5.0,2.0,Clothing,Hankerchief,COD,Kerala ,Thiruvananthapuram,F,2023-02-02
1438,15.0,4.0,1.0,Clothing,Hankerchief,Debit Card,Karnataka,Bangalore,F,2023-02-03
94,1364.0,1864.0,5.0,Furniture,Tables,Credit Card,Jammu and Kashmir,Kashmir,F,2023-02-03
1544,1337.0,147.0,7.0,Electronics,Printers,Credit Card,Maharashtra,Pune,F,2023-02-04
566,15.0,2.0,1.0,Clothing,Leggings,Debit Card,Gujarat,Ahmedabad,F,2023-02-04
774,322.0,-193.0,5.0,Electronics,Printers,UPI,Madhya Pradesh,Indore,M,2023-02-04
366,1316.0,527.0,7.0,Electronics,Electronic Games,Credit Card,Andhra Pradesh,Hyderabad,F,2023-02-05
228,1314.0,342.0,3.0,Furniture,Bookcases,Credit Card,Maharashtra,Pune,F,2023-02-06
